,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,Gender,Age,PositiveTransfer,FaceStimMatrix,oldYMcounter,oldYFcounter,oldOMcounter,oldOFcounter,newYMcounter,newYFcounter,newOMcounter,newOFcounter,keyPressed,Mem,Hit,FA,CR,Miss,RT,subject
71,72,MemResp,3,72,71,71,0,YM,1,1,0,1,14,14,13,14,5,4,4,4,a,2,1,0,0,0,705,46
72,73,MemResp,3,73,72,72,0,OM,1,2,1,3,14,14,14,14,5,4,4,4,a,2,1,0,0,0,918,46
73,74,MemResp,3,74,73,73,0,OF,2,2,0,4,14,14,14,15,5,4,4,4,a,2,1,0,0,0,731,46
74,75,MemResp,3,75,74,74,0,OF,2,2,0,12,14,14,14,15,5,4,4,5,k,1,0,0,1,0,896,46
75,76,MemResp,3,76,75,75,0,OM,1,2,0,11,14,14,14,15,5,4,5,5,k,1,0,0,1,0,973,46
76,77,MemResp,3,77,76,76,0,YF,2,1,0,10,14,14,14,15,5,5,5,5,k,1,0,0,1,0,947,46
77,78,MemResp,3,78,77,77,0,OM,1,2,1,3,14,14,15,15,5,5,5,5,k,2,0,0,0,1,1032,46
78,79,MemResp,3,79,78,78,0,YF,2,1,1,2,14,15,15,15,5,5,5,5,a,2,1,0,0,0,926,46
79,80,MemResp,3,80,79,79,0,YM,1,1,0,1,15,15,15,15,5,5,5,5,a,2,1,0,0,0,1226,46
80,81,MemResp,3,81,0,80,1,OF,2,2,0,12,15,15,15,15,5,5,5,6,a,1,0,1,0,0,1095,46
81,82,MemResp,3,82,1,81,1,OM,1,2,1,3,15,15,16,15,5,5,5,6,a,2,1,0,0,0,1285,46
82,83,MemResp,3,83,2,82,1,YF,2,1,1,2,15,16,16,15,5,5,5,6,a,2,1,0,0,0,842,46
83,84,MemResp,3,84,3,83,1,YM,1,1,0,1,16,16,16,15,5,5,5,6,k,2,0,0,0,1,1662,46
84,85,MemResp,3,85,4,84,1,OF,2,2,0,4,16,16,16,16,5,5,5,6,a,2,1,0,0,0,851,46
85,86,MemResp,3,86,5,85,1,OM,1,2,1,3,16,16,17,16,5,5,5,6,a,2,1,0,0,0,992,46
86,87,MemResp,3,87,6,86,1,OF,2,2,0,4,16,16,17,17,5,5,5,6,a,2,1,0,0,0,758,46
87,88,MemResp,3,88,7,87,1,OF,2,2,0,4,16,16,17,18,5,5,5,6,k,2,0,0,0,1,874,46
88,89,MemResp,3,89,8,88,1,OM,1,2,1,3,16,16,18,18,5,5,5,6,a,2,1,0,0,0,798,46
